Region,County,1968_D,1968_R,1968_Party,1968_Winner,1972_D,1972_R,1972_Party,1972_Winner,1976_D,1976_R,1976_Party,1976_Winner,1980_D,1980_R,1980_Party,1980_Winner,1984_D,1984_R,1984_Party,1984_Winner,1988_D,1988_R,1988_Party,1988_Winner,1992_D,1992_R,1992_Party,1992_Winner,1996_D,1996_R,1996_Party,1996_Winner,2000_D,2000_R,2000_Party,2000_Winner,2004_D,2004_R,2004_Party,2004_Winner,2008_D,2008_R,2008_Party,2008_Winner,2012_D,2012_R,2012_Party,2012_Winner
East,Franklin,0.421723238,0.442193211,R,Nixon,0.367480756,0.567518768,R,Nixon,0.419975007,0.545131212,R,Ford,0.31092718,0.612574199,R,Reagan,0.35278774,0.629605478,R,Reagan,0.416695774,0.566538596,R,Bush,0.342232788,0.410167322,R,Bush,0.410135582,0.49156746,R,Dole,0.34178052,0.631261936,R,Bush,0.321059472,0.665697135,R,Bush,0.373730707,0.611139318,R,McCain,0.37088725,0.607163362,R,Romney
East,Garfield,0.379571248,0.530264817,R,Nixon,0.313559322,0.654498044,R,Nixon,0.394871795,0.571794872,R,Ford,0.335088874,0.576036866,R,Reagan,0.345238095,0.639355742,R,Reagan,0.449583017,0.541319181,R,Bush,0.358062074,0.469341408,R,Bush,0.396015936,0.496414343,R,Dole,0.225733634,0.73890143,R,Bush,0.276515152,0.708333333,R,Bush,0.280407866,0.705025492,R,McCain,0.262910798,0.714397496,R,Romney
East,Grant,0.401823624,0.487714902,R,Nixon,0.346971038,0.592512963,R,Nixon,0.438857852,0.518706619,R,Ford,0.311771818,0.612881952,R,Reagan,0.321589052,0.658088235,R,Reagan,0.402361828,0.577637108,R,Bush,0.332010401,0.433511245,R,Bush,0.368837465,0.498262142,R,Dole,0.29720985,0.665181948,R,Bush,0.299249856,0.684708598,R,Bush,0.349916175,0.625154895,R,McCain,0.324769577,0.647797373,R,Romney
West,Grays Harbor,0.594251455,0.340327984,D,Humphrey,0.496357128,0.456475047,D,McGovern,0.564098271,0.396099276,D,Carter,0.443719541,0.401902217,D,Carter,0.547310194,0.439640061,D,Mondale,0.602667693,0.378778163,D,Dukakis,0.462552317,0.253469418,D,Clinton,0.536457143,0.290857143,D,Clinton,0.512243955,0.432196211,D,Gore,0.521697134,0.460451472,D,Kerry,0.560375548,0.414747807,D,Obama,0.556407753,0.415353507,D,Obama
West,Island,0.40475,0.509625,R,Nixon,0.286194674,0.681177861,R,Nixon,0.415414067,0.553318208,R,Ford,0.292149361,0.588717064,R,Reagan,0.332266201,0.657159488,R,Reagan,0.398538847,0.587833091,R,Bush,0.35170053,0.350633098,D,Clinton,0.427100899,0.435181282,R,Dole,0.447763907,0.49715186,R,Bush,0.472418891,0.512305817,R,Bush,0.523209754,0.46077943,D,Obama,0.510178389,0.465688021,D,Obama
West,Jefferson,0.499667037,0.40554939,D,Humphrey,0.404711334,0.534852288,R,Nixon,0.478168089,0.458634274,D,Carter,0.401346389,0.446144431,R,Reagan,0.493036212,0.486715235,D,Mondale,0.54690743,0.434205064,D,Dukakis,0.475042497,0.267887498,D,Clinton,0.50605567,0.326297896,D,Clinton,0.523021537,0.384955473,D,Gore,0.623657069,0.357219596,D,Kerry,0.662898304,0.316642489,D,Obama,0.642442887,0.32301175,D,Obama
West,King,0.47052544,0.459972417,D,Humphrey,0.401192009,0.563923699,R,Nixon,0.452162169,0.507857391,R,Ford,0.391640854,0.454159495,R,Reagan,0.467133143,0.520893657,R,Reagan,0.538807656,0.447755398,D,Dukakis,0.502252139,0.273552421,D,Clinton,0.563815605,0.314140795,D,Clinton,0.600229666,0.343959174,D,Gore,0.649530964,0.336912753,D,Kerry,0.703045014,0.281677859,D,Obama,0.690690417,0.285063185,D,Obama
West,Kitsap,0.559412282,0.364686676,D,Humphrey,0.374312371,0.568388857,R,Nixon,0.506423645,0.45564532,D,Carter,0.346507231,0.487926231,R,Reagan,0.44490579,0.541138908,R,Reagan,0.484543927,0.498829847,R,Bush,0.388876344,0.331270888,D,Clinton,0.482768044,0.385890892,D,Clinton,0.490292019,0.452522515,D,Gore,0.513249981,0.469452019,D,Kerry,0.55191938,0.428649557,D,Obama,0.545340326,0.428364149,D,Obama
East,Kittitas,0.449192347,0.482529499,R,Nixon,0.424550662,0.539601027,R,Nixon,0.484975542,0.475691325,D,Carter,0.379140305,0.498604392,R,Reagan,0.41887087,0.570635678,R,Reagan,0.506669207,0.480945122,D,Dukakis,0.438595075,0.329269277,D,Clinton,0.45423432,0.415791149,D,Clinton,0.391594491,0.548558853,R,Bush,0.418490425,0.562795325,R,Bush,0.449406761,0.530053727,R,McCain,0.437455286,0.538330307,R,Romney
East,Klickitat,0.474386236,0.455248405,D,Humphrey,0.405984419,0.541961756,R,Nixon,0.5053331,0.449903829,D,Carter,0.413112667,0.495385105,R,Reagan,0.401361551,0.578659168,R,Reagan,0.4914558,0.479789681,D,Dukakis,0.402686524,0.304424004,D,Clinton,0.455757232,0.377481566,D,Clinton,0.37529109,0.558524329,R,Bush,0.4369384,0.543033452,R,Bush,0.488488784,0.486422668,D,Obama,0.447537473,0.51742262,R,Romney
